"Source Url","Url","Term","Course","Enrl","Median"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-011-01","13","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-013-01","13","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-024-01","14","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-031-01","11","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-044-01","33","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-051-01","21","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-39.02-01","25","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-80.06-01","12","A/A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-88.14-01","16","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AAAS-88.17-01","18","A/A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AMES-008-01","26","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AMES-011-01","29","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AMES-21.04-01","23","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AMES-41.06-01","10","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","AMES-41.10-01","15","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-001-01","52","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-006-01","59","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-008-01","50","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-009-01","48","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-018-01","13","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-025-01","29","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-036-01","33","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-041-01","34","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-062-01","34","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-25.01-01","29","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-50.20-01","11","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ANTH-50.21-01","18","A/A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARAB-001-01","16","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARAB-001-02","14","A/A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARAB-031-01","10","A/A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARAB-05.01-01","16","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARTH-001-01","53","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARTH-11.01-01","17","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARTH-40.05-01","14","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARTH-42.01-01","15","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARTH-47.03-01","28","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ARTH-62.30-01","23","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ASTR-002-01","67","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ASTR-003-01","16","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-002-01","76","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-005-01","10","A/A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-012-01","37","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-012-02","51","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-014-01","54","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-016-01","25","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-024-01","10","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-040-01","65","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-041-01","17","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-046-01","14","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-076-01","12","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","BIOL-11.07-01","68","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHEM-005-01","105","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHEM-006-01","16","B/B-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHEM-010-01","32","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHEM-042-01","11","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHEM-051-01","63","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHIN-001-01","17","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHIN-001-02","13","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHIN-004-01","18","A-/B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHIN-004-02","17","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHIN-004-03","18","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHIN-031-01","14","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CHIN-61.02-01","26","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CLST-003-01","15","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CLST-006-01","10","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CLST-018-01","28","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CLST-030-90","12","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CLST-030-91","12","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CLST-031-90","12","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CLST-11.03-01","15","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","CLST-11.06-01","19","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COCO-01.03-01","48","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COCO-019-01","15","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COGS-021-01","26","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COGS-044-01","78","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COGS-080-01","11","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COLT-001-01","94","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COLT-10.07-01","18","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COLT-39.02-01","28","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COLT-40.01-01","14","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COLT-51.01-01","21","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COLT-57.09-01","18","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COLT-62.03-01","23","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COLT-66.01-01","27","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-001-01","171","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-002-01","34","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-010-01","52","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-016-01","26","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-024-01","16","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-029-01","10","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-058-01","15","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-061-01","54","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-065-01","43","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-071-01","11","A"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-074-01","47","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-076-01","78","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","COSC-077-01","20","B"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","EARS-001-01","39","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","EARS-006-01","109","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","EARS-045-90","23","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","EARS-046-90","23","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","EARS-047-90","23","A-"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ECON-001-01","126","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ECON-001-02","126","B+"
"http://www.dartmouth.edu/~reg/transcript/medians/17f.html","","17F","ECON-001-03","41","B+"
